idadenumero  sexo  glabela  fronte  incisivos  mentoredondo  mentoproeminencia  orbita
PosPuberal  Feminino  PoucoProeminente  Inclinada  Quadrado  Arredondado  MuitoDiscreto  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Discreto  Angulosa
PosPuberal  Masculino  PoucoProeminente  MuitoInclinada  Redondo  MuitoQuadrado  Discreto  Angulosa
PosPuberal  Masculino  NadaProeminente  MuitoInclinada  MuitoRedondo  Quadrado  Proeminente  Angulosa
PosPuberal  Feminino  PoucoProeminente  MuitoVertical  MuitoQuadrado  Arredondado  MuitoProeminente  Redonda
Adulto  Feminino  NadaProeminente  Inclinada  Redondo  Arredondado  Discreto  Angulosa
Adulto  Feminino  PoucoProeminente  Vertical  Redondo  Arredondado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  Proeminente  Angulosa
Velho  Masculino  Proeminente  Inclinada  Quadrado  Quadrado  MuitoProeminente  Redonda
Velho  Feminino  NadaProeminente  MuitoInclinada  Quadrado  Quadrado  MuitoDiscreto  Redonda
Velho  Feminino  PoucoProeminente  Vertical  Quadrado  Quadrado  Discreto  Redonda
Velho  Masculino  PoucoProeminente  MuitoInclinada  Quadrado  MuitoQuadrado  MuitoDiscreto  Redonda
PosPuberal  Feminino  PoucoProeminente  Vertical  MuitoQuadrado  Arredondado  MuitoDiscreto  Angulosa
PosPuberal  Masculino  MuitoProeminente  MuitoVertical  Quadrado  Arredondado  MuitoProeminente  Redonda
PosPuberal  Masculino  Proeminente  Inclinada  MuitoQuadrado  Quadrado  MuitoDiscreto  Angulosa
Velho  Feminino  NadaProeminente  MuitoInclinada  Quadrado  Quadrado  MuitoDiscreto  Redonda
Adulto  Masculino  Proeminente  Vertical  Quadrado  MuitoQuadrado  Proeminente  Redonda
Adulto  Masculino  Proeminente  Inclinada  Quadrado  MuitoArredondado  Proeminente  Redonda
