@relation null

@attribute sexo {Masculino,Feminino}
@attribute glabela {MuitoProeminente,NadaProeminente,PoucoProeminente,Proeminente,Indisponivel}
@attribute fronte {Inclinada,MuitoVertical,Vertical,MuitoInclinada,Indisponivel}
@attribute incisivos {Quadrado,Redondo,MuitoQuadrado,MuitoRedondo,Indisponivel}
@attribute mentoredondo {Arredondado,Quadrado,MuitoQuadrado,MuitoArredondado,Indisponivel}
@attribute mentoproeminencia {MuitoDiscreto,Proeminente,Discreto,MuitoProeminente,Indisponivel}
@attribute orbita {Angulosa,Redonda,Indisponivel,MuitoRedonda,MuitoAngulosa}

@data
Masculino,Proeminente,Inclinada,Quadrado,MuitoQuadrado,Discreto,Redonda
Feminino,NadaProeminente,MuitoInclinada,Redondo,Quadrado,Proeminente,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Discreto,Angulosa
Feminino,NadaProeminente,Inclinada,Quadrado,MuitoArredondado,Proeminente,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,Quadrado,MuitoProeminente,Redonda
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoArredondado,Proeminente,Angulosa
Masculino,PoucoProeminente,Inclinada,MuitoQuadrado,MuitoArredondado,MuitoDiscreto,Angulosa
Masculino,PoucoProeminente,Inclinada,Quadrado,Arredondado,MuitoDiscreto,Angulosa
Feminino,PoucoProeminente,Inclinada,Redondo,Quadrado,MuitoProeminente,Redonda
Masculino,Proeminente,Vertical,Quadrado,Arredondado,Discreto,Redonda
Feminino,PoucoProeminente,Vertical,Quadrado,Arredondado,Proeminente,Redonda
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Discreto,Angulosa
Feminino,PoucoProeminente,MuitoVertical,Redondo,MuitoArredondado,Proeminente,Redonda
Masculino,Proeminente,Vertical,Quadrado,Quadrado,Discreto,Angulosa
Masculino,Proeminente,Vertical,Quadrado,Quadrado,MuitoDiscreto,Angulosa
Masculino,Proeminente,Vertical,Quadrado,Arredondado,Discreto,Redonda
Masculino,NadaProeminente,MuitoInclinada,Quadrado,Quadrado,Proeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,MuitoQuadrado,Proeminente,Redonda
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Masculino,Proeminente,Inclinada,Quadrado,Arredondado,MuitoProeminente,Angulosa
Feminino,PoucoProeminente,MuitoVertical,MuitoQuadrado,MuitoQuadrado,Discreto,Redonda
Masculino,Proeminente,Vertical,Quadrado,MuitoArredondado,Proeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Feminino,PoucoProeminente,MuitoVertical,Redondo,MuitoArredondado,Proeminente,Redonda
Masculino,Proeminente,Vertical,Quadrado,MuitoQuadrado,Proeminente,Redonda
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Masculino,PoucoProeminente,Inclinada,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Masculino,Proeminente,Vertical,MuitoRedondo,MuitoQuadrado,Proeminente,Redonda
Feminino,PoucoProeminente,Vertical,Quadrado,Arredondado,Discreto,Redonda
Masculino,Proeminente,Vertical,Quadrado,Quadrado,MuitoProeminente,Redonda
Feminino,PoucoProeminente,Vertical,Redondo,Quadrado,Proeminente,Redonda
Feminino,PoucoProeminente,MuitoVertical,MuitoQuadrado,MuitoQuadrado,Discreto,Redonda
Masculino,PoucoProeminente,Inclinada,MuitoQuadrado,Quadrado,Discreto,Angulosa
Masculino,Proeminente,Vertical,Quadrado,Arredondado,MuitoProeminente,Redonda
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,MuitoDiscreto,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,Quadrado,MuitoProeminente,Redonda
Masculino,Proeminente,Inclinada,Quadrado,MuitoArredondado,Proeminente,Redonda
Masculino,Proeminente,Inclinada,Redondo,MuitoQuadrado,Proeminente,Angulosa
Feminino,NadaProeminente,Inclinada,Redondo,Arredondado,Proeminente,Redonda
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,Arredondado,Proeminente,Angulosa
Masculino,PoucoProeminente,Inclinada,MuitoQuadrado,MuitoArredondado,MuitoDiscreto,Angulosa
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,MuitoProeminente,Redonda
Masculino,Proeminente,Inclinada,Quadrado,MuitoQuadrado,Discreto,Angulosa
Feminino,NadaProeminente,Inclinada,Redondo,Arredondado,Discreto,Angulosa
Feminino,NadaProeminente,Inclinada,MuitoQuadrado,Quadrado,Discreto,Angulosa
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,Quadrado,Discreto,Angulosa
Masculino,Proeminente,Vertical,Quadrado,MuitoQuadrado,Proeminente,Redonda
Masculino,Proeminente,Inclinada,Quadrado,MuitoQuadrado,Discreto,Angulosa
Feminino,PoucoProeminente,Vertical,Quadrado,Arredondado,Proeminente,Redonda
Masculino,PoucoProeminente,MuitoInclinada,MuitoRedondo,Quadrado,Proeminente,Redonda
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoArredondado,Proeminente,Angulosa
Feminino,PoucoProeminente,Vertical,Quadrado,Quadrado,Discreto,Redonda
Masculino,Proeminente,Inclinada,Redondo,MuitoArredondado,Proeminente,Redonda
Masculino,PoucoProeminente,Inclinada,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Feminino,NadaProeminente,Inclinada,MuitoQuadrado,Arredondado,MuitoDiscreto,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,Quadrado,Proeminente,Angulosa
Feminino,PoucoProeminente,MuitoVertical,MuitoRedondo,Quadrado,Discreto,Redonda
Masculino,Proeminente,Vertical,Quadrado,MuitoQuadrado,Discreto,Redonda
Feminino,NadaProeminente,MuitoInclinada,MuitoRedondo,Arredondado,Discreto,Angulosa
Masculino,Proeminente,Vertical,Quadrado,MuitoArredondado,Proeminente,Redonda
Masculino,Proeminente,Vertical,MuitoRedondo,MuitoQuadrado,Proeminente,Redonda
Feminino,PoucoProeminente,Vertical,Quadrado,Quadrado,MuitoProeminente,Redonda
Masculino,Proeminente,Vertical,Quadrado,MuitoQuadrado,Discreto,Redonda
Feminino,PoucoProeminente,Inclinada,Redondo,Quadrado,MuitoProeminente,Redonda
Feminino,PoucoProeminente,MuitoVertical,MuitoRedondo,Quadrado,Discreto,Redonda
Feminino,PoucoProeminente,Vertical,Redondo,MuitoArredondado,Discreto,Redonda
Feminino,PoucoProeminente,Vertical,Quadrado,Quadrado,Discreto,Redonda
Masculino,MuitoProeminente,MuitoVertical,Quadrado,Quadrado,MuitoDiscreto,Angulosa
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Masculino,Proeminente,Inclinada,MuitoQuadrado,Arredondado,Proeminente,Redonda
Feminino,NadaProeminente,MuitoInclinada,MuitoRedondo,Arredondado,Discreto,Angulosa
Feminino,NadaProeminente,MuitoInclinada,MuitoRedondo,Arredondado,Discreto,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,MuitoProeminente,Redonda
Masculino,MuitoProeminente,MuitoVertical,Quadrado,MuitoArredondado,Discreto,Redonda
Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Discreto,Redonda
Masculino,Proeminente,Vertical,Quadrado,MuitoArredondado,Proeminente,Redonda
Feminino,PoucoProeminente,MuitoVertical,Redondo,Quadrado,Proeminente,Angulosa
Feminino,PoucoProeminente,Vertical,Quadrado,Quadrado,MuitoProeminente,Redonda
Masculino,NadaProeminente,MuitoInclinada,MuitoRedondo,Quadrado,Proeminente,Redonda
Feminino,PoucoProeminente,Vertical,Redondo,Quadrado,MuitoProeminente,Redonda
Feminino,PoucoProeminente,MuitoVertical,Quadrado,Arredondado,MuitoProeminente,Redonda
Masculino,NadaProeminente,MuitoInclinada,Quadrado,Quadrado,Proeminente,Redonda
Masculino,PoucoProeminente,Inclinada,Quadrado,MuitoQuadrado,Proeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,MuitoQuadrado,Proeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,Quadrado,Proeminente,Angulosa
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,MuitoDiscreto,Angulosa
Feminino,PoucoProeminente,Inclinada,Quadrado,Quadrado,Proeminente,Angulosa
Feminino,PoucoProeminente,MuitoVertical,MuitoRedondo,Quadrado,Discreto,Redonda
Feminino,PoucoProeminente,Vertical,MuitoRedondo,MuitoArredondado,MuitoProeminente,Angulosa
Masculino,Proeminente,Inclinada,Redondo,Arredondado,Discreto,Redonda
Masculino,PoucoProeminente,MuitoInclinada,Quadrado,MuitoArredondado,MuitoProeminente,Angulosa
Feminino,PoucoProeminente,Vertical,Redondo,Arredondado,Discreto,MuitoRedonda
Feminino,PoucoProeminente,MuitoVertical,MuitoQuadrado,Arredondado,MuitoProeminente,Redonda
Feminino,NadaProeminente,Inclinada,Redondo,MuitoQuadrado,Discreto,Redonda
Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Proeminente,Angulosa
Masculino,Proeminente,Vertical,Quadrado,Quadrado,Proeminente,Redonda
Feminino,PoucoProeminente,MuitoVertical,MuitoRedondo,MuitoQuadrado,Discreto,Redonda
Masculino,Proeminente,Inclinada,Redondo,MuitoArredondado,MuitoProeminente,Angulosa
Feminino,PoucoProeminente,Vertical,Quadrado,Quadrado,MuitoProeminente,Redonda
Feminino,PoucoProeminente,Inclinada,Quadrado,Arredondado,MuitoDiscreto,Redonda
Feminino,PoucoProeminente,MuitoVertical,Redondo,Quadrado,Proeminente,Angulosa
Feminino,PoucoProeminente,Vertical,Quadrado,Arredondado,Discreto,Redonda
Feminino,PoucoProeminente,Vertical,Redondo,Quadrado,MuitoProeminente,Redonda
Feminino,NadaProeminente,MuitoInclinada,Redondo,Arredondado,Discreto,Angulosa
Feminino,PoucoProeminente,Vertical,Quadrado,MuitoQuadrado,Discreto,Redonda
Masculino,NadaProeminente,MuitoInclinada,MuitoRedondo,Quadrado,Proeminente,Angulosa
Masculino,PoucoProeminente,Inclinada,Quadrado,Arredondado,MuitoDiscreto,Angulosa
