@relation null

@attribute idadenumero {De30a43,De54a66,De23a29,De44a53,De18a22}
@attribute sexo {Feminino,Masculino}
@attribute glabela {NadaProeminente,Proeminente,PoucoProeminente,MuitoProeminente,Indisponivel}
@attribute fronte {MuitoVertical,Inclinada,Vertical,MuitoInclinada,Indisponivel}
@attribute incisivos {Quadrado,Redondo,MuitoQuadrado,MuitoRedondo,Indisponivel}
@attribute mentoredondo {Arredondado,Quadrado,MuitoArredondado,MuitoQuadrado,Indisponivel}
@attribute mentoproeminencia {Discreto,Proeminente,MuitoProeminente,MuitoDiscreto,Indisponivel}
@attribute orbita {Angulosa,Redonda,MuitoRedonda,Indisponivel,MuitoAngulosa}

@data
De18a22,Feminino,PoucoProeminente,Vertical,Quadrado,Arredondado,MuitoDiscreto,Redonda
De18a22,Feminino,NadaProeminente,Inclinada,MuitoQuadrado,Arredondado,MuitoDiscreto,Angulosa
De18a22,Feminino,PoucoProeminente,MuitoVertical,MuitoQuadrado,MuitoQuadrado,Discreto,Redonda
De30a43,Masculino,MuitoProeminente,MuitoVertical,Quadrado,Quadrado,Proeminente,Angulosa
De30a43,Masculino,Proeminente,Inclinada,Quadrado,MuitoQuadrado,Discreto,Angulosa
De18a22,Feminino,PoucoProeminente,MuitoVertical,MuitoQuadrado,Arredondado,MuitoProeminente,Redonda
De30a43,Feminino,NadaProeminente,MuitoInclinada,Redondo,Quadrado,Discreto,Redonda
De18a22,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,Discreto,Angulosa
De18a22,Masculino,Proeminente,Inclinada,Redondo,MuitoArredondado,Proeminente,Redonda
De18a22,Feminino,NadaProeminente,Inclinada,Quadrado,Arredondado,MuitoDiscreto,Angulosa
De30a43,Masculino,Proeminente,Inclinada,Quadrado,MuitoQuadrado,Discreto,Angulosa
De54a66,Masculino,Proeminente,Inclinada,Quadrado,Quadrado,MuitoProeminente,Angulosa
De30a43,Feminino,NadaProeminente,Inclinada,Redondo,MuitoArredondado,Proeminente,Redonda
